artist,artist_m,gender,idol_id,agency_old,agency_new,debut_y,debut_t,fan
세븐틴,"S.COUPS (SEVENTEEN), 정한 (SEVENTEEN), 조슈아 (SEVENTEEN), 준 (SEVENTEEN), 호시 (SEVENTEEN), 원우 (SEVENTEEN), 도겸 (SEVENTEEN), 민규 (SEVENTEEN), 디에잇 (SEVENTEEN), 승관 (SEVENTEEN), Vernon (SEVENTEEN), 디노 (SEVENTEEN), WOOZI (SEVENTEEN)",남,861436,,플레디스,2015,아낀다,138704
아이콘,"B.I, 김진환, BOBBY, 송윤형, 구준회, 김동혁, 정찬우",남,895741,,YG,,,119885
데이식스,"성진, Jae, Young K, 원필, 도운",남,894864,,JYP,,,49251
업텐션,"진후, 쿤, 고결, 웨이, 비토, 우신, 선율, 규진, 환희 (업텐션), 샤오",남,894825,,티오피미디어,2015,"위험해 (SO, DANGEROUS)",5392
브이에이브이,"에이스 (ACE), 바론 (VAV), 제이콥 (Jacob), 세인트반 (St.Van), 로우, 에이노, 지우",남,906245,,에이팀,2015,Under The Moonlight (달빛 아래서),3409
맵식스,"민혁, 제이준, 썬, 제이빈, 싸인",남,913347,,드림티,2015,Storm,776
스누퍼,"상일, 상호, 세빈, 수현, 우성, 태웅",남,856374,,위드메이,2015,쉘 위 댄스 (Shall We Dance),1499
여자친구,"소원 (여자친구), 예린 (여자친구), 은하 (여자친구), 유주 (여자친구), 신비 (여자친구), 엄지 (여자친구)",여,828478,,쏘스뮤직,2015,유리구슬 (Glass Bead),110556
러버소울,"최초아, 킴",여,837535,,해피트라이브위드에이치씨,2015,Life (Feat. 매드클라운),928
씨엘씨,"장예은, 손, 오승희, 장승연, 최유진, 권은빈, 엘키",여,839579,,큐브,2015,Pepe,8095
써스포,"산하, 휘린, 아인 (써스포)",여,856706,,TK,,,368
오마이걸,"효정 (오마이걸), 미미 (오마이걸), 유아 (오마이걸), 승희 (오마이걸), 지호 (오마이걸), 비니 (오마이걸), 아린 (오마이걸)",여,857994,,WM,2015,CUPID,44172
멜로디데이,"여은 (멜로디데이), 예인 (멜로디데이), 차희 (멜로디데이), 유민 (멜로디데이)",여,693951,,로엔뷰가,2014,어떤 안녕,7352
에이프릴,"윤채경 (에이프릴), 김채원 (에이프릴), 이나은 (에이프릴), 양예나 (에이프릴), 레이첼 (에이프릴), 이진솔 (에이프릴)",여,882818,,DSP미디어,2015,꿈사탕,12235
다이아,"예빈 (다이아), 유니스, 제니, 정채연, 기희현, 은채, 주은, 솜이 (다이아)",여,890286,,MBK,2015,,14938
트와이스,"나연, 정연, 모모, 사나, 지효, 미나, 다현, 채영, 쯔위",여,905701,,JYP,2015,OOH-AHH하게,179443
카드,"BM, J.seph, 전소민, 전지우",혼,1271812,,DSP미디어,2016,Oh NaNa (Hidden. 허영지),15276
아스트로,"차은우 (ASTRO), 문빈 (ASTRO), MJ (ASTRO), 진진 (ASTRO), 라키 (ASTRO), 윤산하 (ASTRO)",남,945766,,판타지오,,,24338
임팩트,"웅재 (임팩트), 이상 (임팩트), 태호 (임팩트), 지안 (임팩트), 제업 (임팩트)",남,944329,,스타제국,2016,롤리팝 (Lollipop),1263
펜타곤,"후이 (펜타곤), 진호 (펜타곤), 홍석, 이던, 신원, 여원, 옌안, 유토, 키노, 우석 (펜타곤)",남,1201990,,큐브,2016,Gorilla,15047
에스에프나인,"영빈, 인성, 재윤 (SF9), 다원, 로운, 주호, 태양, 휘영, 찬희",남,1183574,,FNC,2016,팡파레 (Fanfare),7234
크나큰,"김유진, 박승준, 정인성, 오희준, 김지훈",남,946943,,YNB,2016,KNOCK,3154
엔시티,"도영 (DOYOUNG), 재현 (JAEHYUN), 마크 (MARK), 태일 (TAEIL), 태용 (TAEYONG), 텐 (TEN), 윈윈 (WINWIN), 유타 (YUTA), 천러 (CHENLE), 해찬 (HAECHAN), 재민 (JAEMIN), 제노 (JENO), 지성 (JISUNG), 런쥔 (RENJUN), 쟈니 (JOHNNY), 정우 (JUNGWOO), 쿤 (KUN), 루카스 (LUCAS)",남,1866861,,SM,2016,,18137
엔시티 유,"마크 (MARK), 재현 (JAEHYUN), 텐 (TEN), 태용 (TAEYONG), 도영 (DOYOUNG), 태일 (TAEIL), 정우 (JUNGWOO), 루카스 (LUCAS), 윈윈 (WINWIN)",남,960278,,SM,2016,"일곱 번째 감각 (The 7th Sense) (Sung by 태용, 마크, 재현, 도영, 텐)",39329
엔시티 일이칠,"태용 (TAEYONG), 재현 (JAEHYUN), 태일 (TAEIL), 마크 (MARK), 윈윈 (WINWIN), 해찬 (HAECHAN), 유타 (YUTA), 도영 (DOYOUNG), 쟈니 (JOHNNY)",남,991413,,SM,2016,소방차 (Fire Truck),47664
엔시티 드림,"천러 (CHENLE), 런쥔 (RENJUN), 재민 (JAEMIN), 지성 (JISUNG), 제노 (JENO), 마크 (MARK), 해찬 (HAECHAN)",남,1066419,,SM,2016,Chewing Gum,46116
더블에스 삼공일,"김형준, 허영생, 김규종",남,944939,,CIENT,,,3560
맙,"MINO, BOBBY",남,1166886,,YG,2016,빨리 전화해 (Feat. KUSH),13578
첸백시,"첸 (CHEN), 백현 (BAEKHYUN), 시우민 (XIUMIN)",남,1228017,,SM,2016,Hey Mama!,142129
소년24,"강산, 고지형, 성현, 용현, 김진섭, 김홍인, 도하, 박용권, 신재민, 아이젝, 진석, 영두, 이로운, 이우진, 이인표, 이창민, 이해준, 이화영, 정민환, 연태, 진성호, 채호철, 최성환, 최재현, 최찬이, 탁진규, 현욱, 인호",남,981468,,CJE&M라이브웍스컴퍼니,,,1333
비투비-블루,"서은광, 이창섭, 임현식, 육성재",남,1182662,,큐브,,,37409
빅톤,"정수빈 (VICTON), 최병찬 (VICTON), 도한세 (VICTON), 임세준 (VICTON), 허찬 (VICTON), 강승식 (VICTON), 한승우 (VICTON)",남,1066850,,플랜에이,,,5685
코코소리,"코코, 소리",여,927426,,소니뮤직,2016,다크서클,675
우주소녀,"설아 (우주소녀), 엑시, 보나, 성소, 은서, 다영, 다원 (우주소녀), 수빈 (우주소녀), 선의, 여름, 미기, 루다, 유연정 (우주소녀)",여,943959,위에화,스타쉽,2016,MoMoMo (모모모),19535
에이오에이 크림,"유나 (AOA), 혜정 (AOA), 찬미 (AOA)",여,945586,,FNC,,,4471
마틸다,"단아, 새별, 세미, 해나 (마틸다 (MATILDA))",여,958257,,박스미디어,2016,Macarena,781
구구단,"나영, 미나, 세정 (구구단), 미미, 샐리, 소이, 하나 (구구단), 해빈 (구구단), 혜연",여,982876,,젤리피쉬,2016,Wonderland,24318
블랙핑크,"지수, 제니, 로제, 리사",여,995169,,YG,,,115037
아이오아이,"정채연, 소미, 세정 (구구단), 최유정 (Weki Meki), 청하, 김소혜, 결경, 김도연 (Weki Meki), 미나, 나영, 유연정 (우주소녀)",여,960251,,YMC,2016,,81768
언니쓰,,여,990909,,한국방송공사,,,13075
씨아이브이에이,"김소희, 이수민, 윤채경 (에이프릴)",여,991420,,,,,4318
아이비아이,"이수현, 김소희, 윤채경 (에이프릴), 이해인, 한혜리",여,993794,,로엔,,,12738
리얼걸프로젝트,"이예은, 지슬, 테라모토 유키카, 소리, 이지원, 수지, 권하서, 허영주 (더 씨야), 민트, 천재인",여,1066385,,인터렉티브미디어믹스,2016,꿈을 Dream,657
나인뮤지스 A,"경리 (나인뮤지스), 혜미 (나인뮤지스), 소진 (나인뮤지스), 금조 (나인뮤지스)",여,994205,,스타제국,,,2357
모모랜드,"나윤, 혜빈, 주이, 낸시, 제인, 아인 (모모랜드), 연우, 태하 (모모랜드), 데이지",여,1221596,,MLD,2016,짠쿵쾅,13176
하이라이트,"윤두준, 용준형, 양요섭, 이기광, 손동운",남,1624993,,어라운드어스,,,75799
허니스트,"서동성, 김철민, 김환, 오승석",남,1704395,,FNC,,,1671
에이스,"준, 동훈, 와우, 김병관, 찬",남,1705318,,비트인터렉티브,2017,선인장 (CACTUS),2113
이엑스피에디션,"시메 (Sime), 코키 (Koki), 프랭키 (Frankie), 헌터 (Hunter)",남,1701924,,아임어비비,2017,FEEL LIKE THIS,692
워너원,"강다니엘, 박지훈, 이대휘, 김재환, 옹성우, 박우진, 라이관린, 윤지성, 황민현, 배진영, 하성운",남,1865973,,YMC,2017,,230428
뉴이스트 W,"JR (뉴이스트), Aron (뉴이스트), 백호 (뉴이스트), 렌 (뉴이스트)",남,1816966,,플레디스,,,72093
마이틴,"송유빈 (마이틴), 김국헌 (마이틴), 신준섭, 은수, 이태빈, 천진, 한슬",남,1815140,,뮤직웍스,2017,어마어마하게,842
온앤오프,"효진, 제이어스, 이션, 라운, 유, MK, 와이엇",남,1865635,,WM,2017,ON/OFF,4316
골든차일드,"이대열, Y, 장준, TAG, 승민, 재현, 지범, 동현, 주찬, 보민",남,1907513,,울림,2017,,6568
아이즈,"지후 (아이즈), 우수, 현준, 준영",남,1705423,,뮤직케이,2017,다해,1694
티알씨엔지,"강민, 시우, 우엽, 지성, 지훈, 태선, 하영, 학민, 현우, 호현",남,1957236,,TS,2017,,989
레인즈,"김성리, 변현민, 서성혁, 이기원 (레인즈), 장대현, 주원탁 (JOO WON TAK), 홍은기 (레인즈)",남,1908321,,프로,,,2463
제이비제이,"노태현, 켄타, 김상균, 김용국, 권현빈, 김동한",남,1910321,,페이브,2017,Fantasy,31449
바이칼,"도까, 케이빈, 호찬, 노아, 데이, 연우, 대웅",남,1956279,,바이칼,,,155
인투잇,"성현, 아이젝, 연태, 이인표, 인호, 지안, 현욱",남,2005441,,MMO,2017,,831
더보이즈,"선우 (THE BOYZ), 주학년 (THE BOYZ), 현재 (THE BOYZ), 영훈 (THE BOYZ), 활 (THE BOYZ), 케빈 (THE BOYZ), 상연 (THE BOYZ), 주연 (THE BOYZ), 뉴 (THE BOYZ), 큐 (THE BOYZ), 제이콥 (THE BOYZ), 에릭 (THE BOYZ)",남,1816126,,크래커,,,9081
보너스베이비,"문희, 하윤, 가온, 공유, 다윤, 채현",여,1285468,,마루기획,2017,우리끼리,516
빈챈현스S,"예빈 (다이아), 정채연, 기희현, 유니스",여,1285252,,MBK,2016,너는 달 지구,1077
루비,"제니, 은진, 은채",여,1285529,,MBK,2016,13월 32일,860
에이치유비,"루이 (RUI), 효선, 예인, 서령, 체희",여,1238995,,뉴플래닛엔터태인먼트,,,326
이달의 소녀 1/3,"희진 (이달의 소녀), 현진 (이달의 소녀), 하슬 (이달의 소녀), 비비 (이달의 소녀)",여,1625207,,블록베리크리에이티브,2017,"지금, 좋아해 (Love & Live)",3080
립버블,"은별, 서린, 한비, 미래, 위니, 엘라, 리아",여,1626826,,제니스미디어콘텐츠,2017,팝콘 (POPCORN),335
프리스틴,"유하, 레나, 로아, 예하나, 시연, 성연, 나영, 은우, 결경, 카일라",여,958953,,플레디스,2017,,13701
힌트,"나엘, 소금, 아라, 별아, 체리, 해솔, 혜진",여,1627831,,스타프로,2017,,192
엘리스,"소희, 가린, 유경, 혜성, 벨라",여,1704756,,후너스,2017,우리 처음,2498
옆집소녀,"슬기 (SEULGI), 문별 (마마무), 유아 (오마이걸), 류수정 (러블리즈), D.ana(디애나), 소미, 김소희",여,1759536,,한국방송공사,2017,,3627
지지배,서진,여,1759736,,NWSTUDIOS,2017,다 너 때문이야,87
애플비,"샌디, 유림, 유지, 하은, 현민",여,1865569,,GH,2017,우쭈쭈,205
위키미키,"최유정 (Weki Meki), 김도연 (Weki Meki), 지수연 (Weki Meki), 엘리 (Weki Meki), 세이 (Weki Meki), Lua (Weki Meki), 리나 (Weki Meki), 루시 (Weki Meki)",여,1816806,,판타지오,2017,,7421
구구단 오구오구,"미나, 혜연",여,1867147,,젤리피쉬,2017,ICE CHU,1541
에스아이에스,"지해, 달, 민지, 가을, 앤, 세빈",여,1868086,,더블엑스,2017,느낌이 와,431
굿데이,"희진 (GOOD DAY), 지니, 체리, 채솔, 하은, 비바, 나윤, 지원, 보민, 럭키",여,1907765,,C9,2017,Rolly,603
이달의 소녀 오드아이써클,"김립 (이달의 소녀), 진솔 (이달의 소녀), 최리 (이달의 소녀)",여,1910699,,블록베리크리에이티브,2017,,3077
유앤비,"준 (U-Kiss), 의진, 호정, 필독 (BIGSTAR), 마르코, 지한솔, 대원 (DAEWON), 기중, 찬",남,2111640,,MBK,2018,감각,3063
프로미스나인,"노지선, 송하영, 이새롬, 이채영, 이나경, 박지원, 이서연, 백지헌, 장규리",여,2019210,,스톤뮤직,2018,,5108
오마이걸 반하나,"효정 (오마이걸), 비니 (오마이걸), 아린 (오마이걸)",여,2112888,,WM,2018,,3392
(여자)아이들,"소연, 미연, 수진, 우기, 슈화, 민니",여,2137482,,큐브,2018,,16884
유니티,"의진, 예빈 (다이아), 앤씨아, 윤조, 이현주, 양지원 (스피카), 우희 (달샤벳), ZN (LABOUM), 수지",여,2111639,,MBK,2018,,1691
프리스틴 V,"나영, 결경, 로아, 은우, 레나",여,2139823,,플레디스,2018,,1944
스트레이 키즈,"방찬 (3RACHA), 우진, 리노, 창빈 (3RACHA), 현진, 한 (3RACHA), 필릭스, 승민, 아이엔",남,2006344,,JYP,2017,,7549
구구단 세미나,"세정 (구구단), 미나, 나영",여,2203723,,젤리피쉬,2018,,1634
소녀시대 오지지,"태연 (TAEYEON), 써니 (SUNNY), 유리 (YURI), 효연 (HYOYEON), 윤아 (YOONA)",,2296946,,SM,2018,,6115
