,source,target,count
341,진영 (GOT7),갓세븐,6
342,영재 (GOT7),갓세븐,6
343,e.one,제국의 아이들,6
344,DAY6 (데이식스),데이식스,6
345,서용배 (TENTEN),아스트로,6
346,블랙아이드 필승,틴탑,6
347,마르코,비아이지,6
348,태완 (Taewan),엠블랙,6
349,신사동 호랭이,비스트,6
350,한재호,더블에스오공일,6
351,David Kim,제이제이씨씨,6
352,한승훈,엔플라잉,6
353,로아,프리스틴,6
354,원택 (1Take),엠블랙,6
355,김영아,컬러링 베이비 7공주,6
356,조은희,구피,6
357,한승훈,에이오에이,6
358,김이나,빅스,6
359,홍지상,투피엠,6
360,원호 (몬스타엑스),몬스타엑스,6
361,제니,다이아,6
362,MELODESIGN,빅스,6
363,김이나,신화,6
364,Ollounder,드림캐쳐,6
365,신혜성,신화,6
366,원태연,파란,6
367,서지음,몬스타엑스,6
368,서림,엑소,6
369,피터팬,다이아,5
370,디에잇 (SEVENTEEN),세븐틴,5
371,정민 (보이프렌드),보이프렌드,5
372,밀리 (MILLY),비에이,5
373,남기상,쥬얼리,5
374,양재선,베이비 복스 리브,5
375,이단옆차기,카라,5
376,이단옆차기,티아라,5
377,신사동 호랭이,포미닛,5
378,시연,프리스틴,5
379,강동하,씨엘씨,5
380,kenzie,소녀시대,5
381,신사동 호랭이,피에스타,5
382,드라이브킹,풍뎅이,5
383,남기상,비트윈,5
384,JB (GOT7),JJ 프로젝트,5
385,전간디,샤이니,5
386,차쿤 (일렉트로보이즈),브레이브걸스,5
387,K-Smith,티아라,5
388,유겸 (GOT7),갓세븐,5
389,신민철,티맥스,5
390,황현 (MonoTree),엘리스,5
391,e.one,에이프릴,5
392,강타 (KANGTA),에스,5
393,김광휘,젝스키스,5
394,이단옆차기,베스티,5
395,신사동 호랭이,다이아,5
396,ZigZag Note,에이핑크,5
397,황현 (MonoTree),소녀시대,5
398,노유민,엔알지,5
399,안영민,신화,5
400,Misfit,엑소,5
401,ZeroZine (MosPick),펜타곤,5
402,북극곰,티아라,5
403,전다운,헤일로,5
404,데니안,god,5
405,AJ,유키스,5
406,신사동 호랭이,에이핑크,5
407,서재우 (TENTEN),포미닛,5
408,도겸 (SEVENTEEN),세븐틴,5
409,장우혁,에이치오티,5
410,1월 8일,레드벨벳,5
411,남기상,걸스데이,5
412,박우상,아스트로,5
413,버피 (BUFFY),매드타운,5
414,김이나,러블리즈,5
415,Mafly,소녀시대-태티서,5
416,정세희,쿨,5
