,artist,member_num,gender,idol_id,agency_old,agency_new,artist_m,debut_y,debut_t
0,서태지와 아이들,3,남,100161,,요요기획,"서태지, 양현석, 이주노",1992,난 알아요
1,더 블루,2,남,180144,,SM,"손지창, 김민종",1992,
2,잼,5,혼,225786,,DSP미디어,,,
3,에스오에스,4,여,101645,,삼포니레코드,,,
4,솔리드,3,남,100037,,비앤비,"이준, 정재윤, 김조한",1993,이젠 나를 (Give Me A Chance)
5,듀스,2,남,100977,,예당음향(예당컴퍼니),"이현도, 김성재",1993,나를 돌아봐
6,노이즈,4,남,100025,,라인기획,,1992,너에게 원한건
7,잉크,7,남,101847,,,,,
8,룰라,4,혼,106610,,서울인프로덕션,"이상민, 고영욱, 김지현, 채리나",1994,100일(日)째 만남
9,쿨,3 (4),혼,100004,,쿨컴퍼니,"이재훈 (쿨), 김성수, 유리",1994,너이길 원했던 이유
10,제트,3,남,108871,,,,2003,Are You Gonna Be My Girl
11,터보,3 (2),남,100059,,더터보컴퍼니,"김종국, 마이키, 김정남",1995,나 어릴 적 꿈
12,알이에프,3,남,100015,,팀,"이성욱, 성대현",1995,고요속의 외침
13,스머프,5,혼,247880,,,,,
14,에이치오티,5,남,100008,,SM,"토니 안, 문희준, 강타 (KANGTA), 장우혁, 이재원",1996,전사의 후예 (폭력시대)
15,언타이틀,2,남,100042,,예당음향(예당컴퍼니),"유건형, 서정환",1996,
16,하모하모,2,남,100178,,뮤직팩토리,"이성진, 천명훈",1996,
17,아이돌,2,남,101640,,DSP미디어,,,
18,구피,3,남,100023,,,"신동욱, 박성호 (구피)",1996,많이많이
19,태사자,4,남,100096,,매스컴,,1997,
20,엔알지,3 (5),남,100010,,뮤직팩토리,"천명훈, 노유민, 이성진",1997,할 수 있어
21,오피피에이,8,남,100013,,베토벤뮤직,,1998,
22,티앤비,5,남,101868,,,,1997,
23,젝스키스,6,남,100052,DSP미디어,YG,"은지원, 이재진, 김재덕, 강성훈, 장수원",1997,학원별곡 (學園別曲)
