,artist,member_num,gender,idol_id,agency_old,agency_new,melon_artist,artist_m,debut_y,debut_t
146,엔소닉,6,남,570311.0,,C2K,블락비 (Block B),"지코 (ZICO), 박경 (블락비), P.O (블락비), 태일 (블락비), 재효 (블락비), 유권 (블락비), 비범 (블락비)",2011,그대로 멈춰라!
147,엠아이비,4,남,575911.0,,정글,엔소닉,"제이하트 (J.Heart), 최별, 봉준, 시후, 민기, 시온",2011,Super Boy
148,달샤벳,4 (6),여,514619.0,,해피페이스,M.I.B,"직 재스퍼 (Zick Jasper), 심스 ($IM$), 강남",2011,G.D.M
149,파이브돌스,5,여,520160.0,,MBK,달샤벳,"수빈, 세리 (달샤벳), 아영 (달샤벳), 우희 (달샤벳)",2011,Supa Dupa Diva
150,치치,5 (7),여,527980.0,,예당,F-ve Dolls,"한별혜원, 한빛효영, 서은교, 한나연, 승희, 오연경 (더 씨야)",2011,입술자국
151,BP 라니아,7,여,532321.0,,DR뮤직,치치,"세미, 보름, 수이, 아지, 샤인",2011,
152,브레이브걸스,7 (5),여,531700.0,,브레이브,라니아,"유민, 지은, 따보, 지유, 혜미, Alexandra, 이나",2011,DR Feel Good (Korean Ver.)
153,에이핑크,6 (7),여,534360.0,,플랜에이,브레이브걸스,"민영 (Brave Girls), 유정, 은지, 유나, 하윤",2011,아나요
154,씨스타19,2,여,537569.0,,스타쉽,Apink (에이핑크),"정은지, 손나은 (에이핑크), 박초롱 (에이핑크), 오하영 (에이핑크), 김남주 (에이핑크), 윤보미 (에이핑크)",2011,몰라요
155,천상지희 다나 & 선데이,2,여,552082.0,,SM,씨스타19,"보라 (씨스타), 효린",2011,Ma Boy (마보이)
156,애프터스쿨 레드,2,여,554180.0,,플레디스,천상지희 다나&선데이,"다나 (DANA), 선데이 (SUNDAY)",2011,나 좀 봐줘 (One More Chance)
157,애프터스쿨 블루,3,여,554181.0,,플레디스,애프터스쿨 RED,"가희, 정아 (애프터스쿨), 유이 (애프터스쿨), 나나 (애프터스쿨)",2011,밤 하늘에
158,블레이디,5 (4),여,540363.0,,스타플레닛,애프터스쿨 BLUE,,2011,원더보이 (Wonder Boy)
159,스텔라,4,여,559971.0,,,블레이디 (Blady),"예은, 다영, 가빈, 티나, 기루",2011,
160,씨리얼,5,여,569973.0,,NAP,스텔라,"가영, 전율, 효은, 민희, 소영",2011,로켓걸 (Rocket Girl) (Feat. Eric)
161,비에이피,6,남,623451.0,,TS,씨리얼,"케미 (씨리얼), 레디 (씨리얼), 에피 (씨리얼), 앤제이 (씨리얼), 레니 (씨리얼)",2011,No No No No No
162,뉴이스트,5,남,640891.0,,플레디스,B.A.P,"방용국, 젤로, 힘찬, 대현 (B.A.P), 영재 (B.A.P), 종업 (B.A.P)",2012,WARRIOR
163,비투비,7,남,647971.0,,큐브,NU`EST,"JR (뉴이스트), Aron (뉴이스트), 백호 (뉴이스트), 황민현, 렌 (뉴이스트)",2012,FACE
164,엑소,9 (12),남,724619.0,,SM,비투비,"서은광, 이민혁, 이창섭, 임현식, 프니엘, 정일훈, 육성재",2012,비밀 (Insane)
